StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,MSHmeans_1,MSHmeansConQ_1,MSHmeansTime_First Click,MSHmeansTime_Last Click,MSHmeansTime_Page Submit,MSHmeansTime_Click Count,MSHcons_1,MSHconsConQ_1,MSHConsTime_First Click,MSHConsTime_Last Click,MSHConsTime_Page Submit,MSHConsTime_Click Count,MSHside_1,MSHsideConQ_1,MSHsideTime_First Click,MSHsideTime_Last Click,MSHsideTime_Page Submit,MSHsideTime_Click Count,MSHsidecons_1,MSHsideconsConQ_1,MSHsideconsTime_First Click,MSHsideconsTime_Last Click,MSHsideconsTime_Page Submit,MSHsideconsTime_Click Count,NSmeans_1,NSmeansConQ_1,NSmeansTime_First Click,NSmeansTime_Last Click,NSmeansTime_Page Submit,NSmeansTime_Click Count,NScons_1,NSconsConQ_1,NSconsTime_First Click,NSconsTime_Last Click,NSconsTime_Page Submit,NSconsTime_Click Count,NSside_1,NSsideConQ_16,NSsideTime_First Click,NSsideTime_Last Click,NSsideTime_Page Submit,NSsideTime_Click Count,NSsidecons_1,NSsideconsConQ_1,NSsideconsTime_First Click,NSsideconsTime_Last Click,NSsideconsTime_Page Submit,NSsideconsTime_Click Count,MRmeans_1,MRmeansConQ_1,MRmeansTime_First Click,MRmeansTime_Last Click,MRmeansTime_Page Submit,MRmeansTime_Click Count,MRcons_1,MRconsConQ_1,MRconsTime_First Click,MRconsTime_Last Click,MRconsTime_Page Submit,MRconsTime_Click Count,MRside_1,MRsideConQ_1,MRsideTime_First Click,MRsideTime_Last Click,MRsideTime_Page Submit,MRsideTime_Click Count,MRsidecons_1,MRsideconsConQ_1,MRsideconsTime_First Click,MRsideconsTime_Last Click,MRsideconsTime_Page Submit,MRsideconsTime_Click Count,MFTmeans_1,MFTmeansConQ_1,MFTmeansTime_First Click,MFTmeansTime_Last Click,MFTmeansTime_Page Submit,MFTmeansTime_Click Count,MFTcons_1,MFTconsConQ_1,MFTconsTime_First Click,MFTconsTime_Last Click,MFTconsTime_Page Submit,MFTconsTime_Click Count,MFTside_1,MFTsideConQ_1,MFTsideTime_First Click,MFTsideTime_Last Click,MFTsideTime_Page Submit,MFTsideTime_Click Count,MFTsidecons_1,MFTsideconsConQ_1,MFTsideconsTime_First Click,MFTsideconsTime_Last Click,MFTsideconsTime_Page Submit,MFTsideconsTime_Click Count,NPmeans_1,NPmeansConQ_1,NPmeansTime_First Click,NPmeansTime_Last Click,NPmeansTime_Page Submit,NPmeansTime_Click Count,NPcons_1,NPconsConQ_1,NPconsTime_First Click,NPconsTime_Last Click,NPconsTime_Page Submit,NPconsTime_Click Count,NPside_1,NPsideConQ_1,NPsideTime_First Click,NPsideTime_Last Click,NPsideTime_Page Submit,NPsideTime_Click Count,NPsidecons_1,NPsideconsConQ_1,NPsideconsTime_First Click,NPsideconsTime_Last Click,NPsideconsTime_Page Submit,NPsideconsTime_Click Count,SSmeans_1,SSmeansConQ_1,SSmeansTime_First Click,SSmeansTime_Last Click,SSmeansTime_Page Submit,SSmeansTime_Click Count,SScons_1,SSconsConQ_1,SSconsTime_First Click,SSconsTime_Last Click,SSconsTime_Page Submit,SSconsTime_Click Count,SSside_1,SSsideConQ_1,SSsideTime_First Click,SSsideTime_Last Click,SSsideTime_Page Submit,SSsideTime_Click Count,SSsidecons_1,SSsideconsConQ_1,SSsideconsTime_First Click,SSsideconsTime_Last Click,SSsideconsTime_Page Submit,SSsideconsTime_Click Count,BBmeans_1,BBmeansConQ_1,BBmeansTime_First Click,BBmeansTime_Last Click,BBmeansTime_Page Submit,BBmeansTime_Click Count,BBcons_1,BBconsConQ_1,BBconsTime_First Click,BBconsTime_Last Click,BBconsTime_Page Submit,BBconsTime_Click Count,BBside_1,BBsideConQ_1,BBsideTime_First Click,BBsideTime_Last Click,BBsideTime_Page Submit,BBsideTime_Click Count,BBsidecons_1,BBsideconsConQ_1,BBsideconsTime_First Click,BBsideconsTime_Last Click,BBsideconsTime_Page Submit,BBsideconsTime_Click Count,DemAge,DemEdu,DemRace,DemRace_10_TEXT,DemGen,DemGen_4_TEXT,DemPol_1
8/26/21 14:28,8/26/21 14:34,IP Address,66.211.206.42,100,308,TRUE,8/26/21 14:34,R_1gj2d4tHBWExzCZ,,,,,42.18269348,-80.06490326,anonymous,EN,70,0,39.554,49.667,50.67,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,100,23.877,28.716,29.488,2,70,0,26.992,30.01,30.89,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82,100,20.651,22.28,23.478,3,,,,,,,,,,,,,,,,,,,85,100,70.164,78.554,79.422,13,,,,,,,,,,,,,70,0,51.384,52.87,53.594,2,,,,,,,66,0,7.94,11.28,12.092,4,,,,,,,,,,,,,,,,,,,30,Bachelor's degree in college (4-year),White,,Male,,0
8/26/21 14:31,8/26/21 14:34,IP Address,73.19.181.3,100,172,TRUE,8/26/21 14:34,R_3QWqOuYEkcDBzg3,,,,,30.49079895,-84.31580353,anonymous,EN,55,0,13.782,17.058,18.059,4,,,,,,,,,,,,,,,,,,,,,,,,,70,100,16.181,20.401,27.898,4,,,,,,,,,,,,,65,0,12.623,16.415,30.329,5,,,,,,,,,,,,,,,,,,,,,,,,,75,100,12.056,13.406,14.846,2,,,,,,,,,,,,,,,,,,,,,,,,,80,3,8.859,14.475,15.424,5,,,,,,,,,,,,,,,,,,,,,,,,,80,100,20.098,21.938,23.83,3,45,0,15.918,17.664,18.73,2,,,,,,,,,,,,,,,,,,,38,Bachelor's degree in college (4-year),East Asian,,Female,,4
8/26/21 14:29,8/26/21 14:34,IP Address,98.39.155.33,100,281,TRUE,8/26/21 14:34,R_R3xGSVMU9gFwH85,,,,,29.87379456,-95.52330017,anonymous,EN,,,,,,,50,85,4.091,35.09,36.004,5,,,,,,,,,,,,,0,0,15.563,19.749,21.11,4,,,,,,,,,,,,,,,,,,,,,,,,,53,100,15.707,21.018,21.682,4,,,,,,,,,,,,,,,,,,,,,,,,,50,0,8.974,29.125,29.72,9,,,,,,,,,,,,,0,100,23.983,43.964,44.833,5,,,,,,,,,,,,,,,,,,,,,,,,,39,0,16.225,21.717,22.995,4,,,,,,,,,,,,,,,,,,,41,0,23.712,34.008,35.276,4,,,,,,,37,Associate degree in college (2-year),White,,Female,,5
8/26/21 14:31,8/26/21 14:34,IP Address,73.37.52.65,100,159,TRUE,8/26/21 14:34,R_2c8FvtIn9UEROXp,,,,,45.48049927,-122.6362991,anonymous,EN,,,,,,,,,,,,,77,0,12.086,14.901,16.138,3,,,,,,,,,,,,,100,100,17.601,19.219,20.138,2,,,,,,,,,,,,,61,0,16.227,18.55,19.497,2,,,,,,,,,,,,,,,,,,,71,0,9.893,12.628,13.623,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,12.931,15.347,16.059,2,77,8,18.943,22.803,24.201,2,,,,,,,,,,,,,,,,,,,,,,,,,88,100,13.538,24.986,25.884,9,,,,,,,,,,,,,29,Bachelor's degree in college (4-year),White,,Female,,1
8/26/21 14:29,8/26/21 14:34,IP Address,71.255.250.32,100,322,TRUE,8/26/21 14:34,R_R2MJKOUSPM45iX7,,,,,39.13609314,-77.28240204,anonymous,EN,,,,,,,,,,,,,,,,,,,100,100,1.419,23.885,26.999,30,,,,,,,90,100,1.422,34.172,35.343,56,,,,,,,,,,,,,,,,,,,90,100,61.059,73.836,83.137,3,,,,,,,,,,,,,,,,,,,100,100,1.246,18.695,20.755,4,,,,,,,,,,,,,,,,,,,,,,,,,100,0,1.495,20.355,22.696,20,,,,,,,90,0,1.165,51.725,53.634,7,,,,,,,,,,,,,,,,,,,0,0,1.186,38.48,40.869,13,,,,,,,,,,,,,,,,,,,40,Bachelor's degree in college (4-year),East Asian,,Male,,4
8/26/21 14:29,8/26/21 14:34,IP Address,98.242.38.121,100,334,TRUE,8/26/21 14:34,R_DBJAF4Do0lYNHxL,,,,,37.67520142,-120.9465027,anonymous,EN,,,,,,,50,70,16.049,47.175,49.894,8,,,,,,,,,,,,,49,0,7.502,25.373,25.68,6,,,,,,,,,,,,,,,,,,,40,0,9.01,33.43,34.389,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,0,6.101,22.752,23.832,7,,,,,,,,,,,,,,,,,,,70,48,10.945,28.201,29.586,6,,,,,,,,,,,,,70,100,9.899,49.038,58.572,5,,,,,,,,,,,,,,,,,,,,,,,,,60,0,19.696,84.362,85.231,2,,,,,,,33,Associate degree in college (2-year),White,,Male,,4
8/26/21 14:28,8/26/21 14:34,IP Address,70.120.233.19,100,357,TRUE,8/26/21 14:34,R_2sdIBLOVIgG8mmm,,,,,31.77749634,-106.490303,anonymous,EN,,,,,,,,,,,,,100,0,23.461,25.475,28.252,2,,,,,,,,,,,,,,,,,,,,,,,,,100,100,20.685,22.642,24.102,2,,,,,,,,,,,,,100,0,21.232,23.751,25.358,3,,,,,,,,,,,,,100,100,15.506,17.928,19.574,2,,,,,,,,,,,,,,,,,,,100,100,20.499,22.325,24,2,,,,,,,,,,,,,,,,,,,100,100,13.449,41.052,41.8,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,15.211,17.268,18.702,2,35,Bachelor's degree in college (4-year),White,,Male,,2
8/26/21 14:29,8/26/21 14:34,IP Address,73.44.201.72,100,331,TRUE,8/26/21 14:35,R_1rDjFBV4D8kvgzH,,,,,41.80949402,-87.65219879,anonymous,EN,,,,,,,,,,,,,70,0,35.966,40.058,41.247,4,,,,,,,70,0,33.806,35.79,36.789,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91,0,41.862,46.074,48.565,3,,,,,,,,,,,,,,,,,,,,,,,,,100,100,39.713,41.064,42.881,2,95,0,29.152,34.869,36.101,2,,,,,,,,,,,,,,,,,,,,,,,,,100,100,43.127,45.581,47.223,2,,,,,,,,,,,,,,,,,,,,,,,,,100,0,46.043,48.642,50.471,3,,,,,,,35,Some college but no degree,Black or African American,,Male,,1
8/26/21 14:29,8/26/21 14:35,IP Address,73.26.152.172,100,314,TRUE,8/26/21 14:35,R_3k6Zn6SyYeYRZH5,,,,,35.62190247,-105.8687973,anonymous,EN,,,,,,,,,,,,,,,,,,,88,89,6.681,8.609,9.465,2,,,,,,,,,,,,,,,,,,,91,87,8.395,9.674,11.425,2,,,,,,,84,93,167.319,170.684,171.571,2,,,,,,,,,,,,,,,,,,,87,92,2.436,3.703,5.232,2,,,,,,,,,,,,,,,,,,,,,,,,,84,95,20.235,27.612,28.577,5,,,,,,,88,91,4.3,7.572,8.277,6,,,,,,,,,,,,,,,,,,,,,,,,,86,91,2.338,4.017,5.33,3,,,,,,,,,,,,,61,Master's degree,White,,Male,,6
8/26/21 14:29,8/26/21 14:35,IP Address,98.212.110.152,100,365,TRUE,8/26/21 14:35,R_1hYA4PD45ZAScV9,,,,,40.14439392,-89.3647995,anonymous,EN,,,,,,,,,,,,,100,0,31.086,34.783,35.833,3,,,,,,,,,,,,,,,,,,,100,0,38.524,40.564,42.156,2,,,,,,,,,,,,,,,,,,,100,0,26.15,28.246,29.411,3,,,,,,,,,,,,,,,,,,,,,,,,,100,100,1.792,35.585,36.939,3,100,0,3.32,29.053,30.175,5,,,,,,,,,,,,,,,,,,,,,,,,,100,100,37.497,41.344,42.366,4,,,,,,,,,,,,,100,0,2.425,26.839,27.591,5,,,,,,,,,,,,,,,,,,,32,Bachelor's degree in college (4-year),White,,Male,,3
